Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
S13990500036,08/20/2013,2565,Hy-Vee Food Store / Spencer,819 N GRAND AVE,SPENCER,51301,POINT (-95.14506 43.145897),21,Clay,1031080,VODKA 80 PROOF,300,Mccormick Distilling Company,36904,Mccormick Vodka Pet,24,375,1.80,2.69,24,64.56,9.00,2.38
S08362200060,10/16/2012,2191,Keokuk Spirits,1013 MAIN,KEOKUK,52632,POINT (-91.387797 40.400038),56,Lee,1041100,AMERICAN DRY GINS,370,Pernod Ricard USA/Austin Nichols,32237,Seagrams Extra Dry Gin,12,1000,7.50,11.24,3,33.72,3.00,0.79
S27104000062,08/03/2015,3952,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,POINT (-90.48065 41.529655),82,Scott,1012100,CANADIAN WHISKIES,65,Jim Beam Brands,10627,Canadian Club Whisky,12,1000,9.71,14.57,24,349.68,24.00,6.34
S28669400042,10/26/2015,2670,Hy-Vee Food Store / Coralville,2004 8TH  ST,CORALVILLE,52241,POINT (-91.591868 41.682337000000004),52,Johnson,1062050,BARBADOS RUM,460,Shaw Ross International Importers LL,44266,British Navy Pusser's Rum,6,750,12.02,18.03,6,108.18,4.50,1.19
S11346100044,03/28/2013,2509,Hy-Vee / Drugtown #1 / Cedar Rapids,1520 6TH ST SW,CEDAR RAPIDS,52404,POINT (-91.67706 41.962419),57,Linn,1031200,VODKA FLAVORED,260,Diageo Americas,77410,Smirnoff Sorbet Light Raspberry Pomegranate Mini,12,500,5.72,8.58,1,8.58,0.50,0.13
S06582900014,07/16/2012,4161,Fareway Stores #950 / Iowa City,2530 WESTWINDS DR,IOWA CITY,52246,POINT (-91.575636 41.650842),52,Johnson,1051010,AMERICAN GRAPE BRANDIES,259,Heaven Hill Brands,52316,Christian Bros Brandy,12,750,5.01,7.76,2,15.52,1.50,0.40
S28099600032,09/24/2015,3664,Shade Tree Liquors,90 10th ST S,NORTHWOOD,50459,POINT (-93.218339 43.443739),98,Worth,1062300,FLAVORED RUM,370,Pernod Ricard USA/Austin Nichols,42717,Malibu Coconut Rum,12,1000,10.49,15.74,3,47.22,3.00,0.79
S11713000047,04/17/2013,3417,Big G Food Store,PO BOX 261  310 W DILLON,MARENGO,52301,,48,Iowa,1081305,APPLE SCHNAPPS,65,Jim Beam Brands,82605,Dekuyper Sour Apple Pucker Traveler,12,750,6.30,9.45,3,28.35,2.25,0.59
S21998900001,10/27/2014,3910,Riverside Casino And Resort,3184 HIGHWAY 22,RIVERSIDE,52327,POINT (-91.531499 41.496387000000006),92,Washington,1011200,STRAIGHT BOURBON WHISKIES,65,Jim Beam Brands,19226,Knob Creek,6,750,20.47,30.71,6,184.26,4.50,1.19
S26981100099,07/27/2015,4312,I-80 Liquor / Council Bluffs,2411 S 24TH ST #1,COUNCIL BLUFFS,51501,POINT (-95.8792 41.238092),78,Pottawattamie,1051010,AMERICAN GRAPE BRANDIES,205,E AND J GALLO WINERY,52596,E & J Vs,12,750,5.92,8.88,1,8.88,0.75,0.20
S14113300130,08/26/2013,2613,Hy-Vee Food Store #1 / Council Bluff,2323 W BROADWAY,COUNCIL BLUFFS,51501,POINT (-95.879662 41.261925),78,Pottawattamie,1012300,IRISH WHISKIES,395,Proximo,15776,Bushmills Irish Whiskey,12,750,12.99,19.49,2,38.98,1.50,0.40
S27399300024,08/18/2015,4344,Spirits / Grimes,109 EAST 1ST ST STE B,GRIMES,50111,POINT (-93.793827 41.68840000000001),77,Polk,1022100,TEQUILA,260,Diageo Americas,89175,Don Julio Anejo Tequila,6,750,32.49,48.74,2,97.48,1.50,0.40
S24985200019,04/09/2015,2838,CVS Pharmacy #8658 / Davenport,1655 W KIMBERLY RD,DAVENPORT,52806,POINT (-90.600088 41.559969),82,Scott,1032080,IMPORTED VODKA,35,"Bacardi U.S.A., Inc.",34433,Grey Goose Vodka,12,750,18.49,27.74,3,83.22,2.25,0.59
S27494100039,08/24/2015,2636,Hy-Vee Wine and Spirits / Hubbell,2310 HUBBELL AVE,DES MOINES,50317,POINT (-93.573845 41.604312),77,Polk,1071100,AMERICAN COCKTAILS,260,Diageo Americas,58801,Captain Morgan Long Island Iced Tea,6,1750,11.00,16.50,6,99.00,10.50,2.77
S04414100026,03/06/2012,2532,Hy-Vee Food Store #2 / Des Moines,2540 E EUCLID,DES MOINES,50317,POINT (-93.569452 41.627838),77,Polk,1062300,FLAVORED RUM,370,Pernod Ricard USA/Austin Nichols,42716,Malibu Coconut Rum,12,750,6.90,10.35,12,124.20,9.00,2.38
S19474000003,06/11/2014,3696,Wal-Mart 1723 / Des Moines,5101 SE 14TH ST,DES MOINES,50315,,77,Polk,1062310,SPICED RUM,260,Diageo Americas,43418,Captain Morgan Tattoo,12,750,8.75,13.12,12,157.44,9.00,2.38
S28058900085,09/22/2015,2644,Hy-Vee Fort Dodge Wine and Spirits,1511 2ND AVE NORTH,FORT DODGE,50501,POINT (-94.177165 42.508344),94,Webster,1031100,100 PROOF VODKA,434,Luxco-St Louis,36301,Hawkeye Vodka 80 Prf Mini,12,500,3.73,5.60,5,28.00,2.50,0.66
S11573100001,04/10/2013,3989,Liquor On The Corner / Cherokee,300 E MAIN ST,CHEROKEE,51012,POINT (-95.547298 42.749597),18,Cherokee,1051110,BLACKBERRY BRANDIES,434,Luxco-St Louis,55084,Paramount Blackberry Brandy,24,375,3.54,5.31,12,63.72,4.50,1.19
S24453500033,03/10/2015,2509,Hy-Vee / Drugtown #1 / Cedar Rapids,1520 6TH ST SW,CEDAR RAPIDS,52404,POINT (-91.67706 41.962419),57,Linn,1031200,VODKA FLAVORED,380,Phillips Beverage Company,41701,Uv Orange Vodka,12,750,6.50,9.75,1,9.75,0.75,0.20
S04115500032,02/16/2012,4344,Spirits / Grimes,109 EAST 1ST ST STE B,GRIMES,50111,POINT (-93.793827 41.68840000000001),77,Polk,1082900,MISC. IMPORTED CORDIALS & LIQUEURS,305,MHW Ltd,64000,Absente,12,750,21.67,32.50,1,32.50,0.75,0.20
S16928900044,01/20/2014,2603,Hy-Vee Wine and Spirits / Bettendorf,2890 DEVILS GLEN ROAD,BETTENDORF,52722,POINT (-90.483701 41.552338),82,Scott,1062200,PUERTO RICO & VIRGIN ISLANDS RUM,434,Luxco-St Louis,45277,Paramount White Rum,12,1000,4.59,6.89,12,82.68,12.00,3.17
S11234100048,03/21/2013,2521,Hy-Vee Food and Drug / Grand / WDM,1990 GRAND AVENUE,WEST DES MOINES,50265,POINT (-93.73162 41.571127),77,Polk,1011200,STRAIGHT BOURBON WHISKIES,259,Heaven Hill Brands,17958,Evan Williams Yr Str Bourbon,6,1750,14.28,21.43,6,128.58,10.50,2.77
S04776500007,03/28/2012,3650,"Spirits, Stogies and Stuff",118 South Main St.,HOLSTEIN,51025,POINT (-95.544794 42.488704),47,Ida,1051110,BLACKBERRY BRANDIES,434,Luxco-St Louis,55087,Paramount Blackberry Brandy,12,1000,6.21,9.32,12,111.84,12.00,3.17
S11706700021,04/17/2013,4121,Newport Bp / Wapello,13410 STATE HWY 78,WAPELLO,52653,POINT (-91.185031 41.087806),58,Louisa,1031080,VODKA 80 PROOF,434,Luxco-St Louis,36304,Hawkeye Vodka,24,375,2.06,3.09,4,12.36,1.50,0.40
S16285900025,12/16/2013,3606,Scotty's Liquor Store,804 G AVE,GRUNDY CENTER,50638,POINT (-92.77421500000001 42.361514),38,Grundy,1081315,CINNAMON SCHNAPPS,65,Jim Beam Brands,82610,Dekuyper Hot Damn!,12,1000,7.62,11.43,3,34.29,3.00,0.79
S29095200031,11/16/2015,2521,Hy-Vee Food and Drug / Grand / WDM,1990 GRAND AVENUE,WEST DES MOINES,50265,POINT (-93.73162 41.571127),77,Polk,1012100,CANADIAN WHISKIES,65,Jim Beam Brands,10627,Canadian Club Whisky,12,1000,9.71,14.57,12,174.84,12.00,3.17
S18587700032,04/23/2014,2500,Hy-Vee Food Store #1 / Ames,3800 W LINCOLN WAY,AMES,50010,,85,Story,1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,"Bacardi U.S.A., Inc.",43127,Bacardi Superior Rum,12,1000,9.43,14.14,12,169.68,12.00,3.17
S26455600052,06/29/2015,3592,Wal-Mart 0886 / Fort Dodge,3036 1ST AVE SOUTH,FORT DODGE,50501,POINT (-94.153456 42.505334),42,Hardin,1031200,VODKA FLAVORED,260,Diageo Americas,77632,Smirnoff Blueberry,12,750,8.25,12.38,12,148.56,9.00,2.38
S21055200049,09/08/2014,3562,Wal-Mart 0797 / W Burlington,324 WEST AGENCY RD,WEST BURLINGTON,52655,POINT (-91.158407 40.813125),29,Des Moines,1032080,IMPORTED VODKA,65,Jim Beam Brands,34578,Pinnacle Vodka,6,1750,12.08,18.12,6,108.72,10.50,2.77
S22705000026,12/03/2014,2500,Hy-Vee Food Store #1 / Ames,3800 W LINCOLN WAY,AMES,50010,,85,Story,1031080,VODKA 80 PROOF,260,Diageo Americas,37414,Popov Vodka 80 Prf,24,375,3.00,4.50,4,18.00,1.50,0.40
S21400800002,09/25/2014,4688,Walgreens #10770 / Carroll,105 E 6th ST,CARROLL,51401,POINT (-94.86677300000001 42.065531),14,Carroll,1012100,CANADIAN WHISKIES,115,"Constellation Wine Company, Inc.",11786,Black Velvet Traveler,12,750,5.23,7.85,36,282.60,27.00,7.13
S12614200011,06/05/2013,4346,Roy's Foodland,105 PEARL ST,SHELLSBURG,52332,POINT (-91.869285 42.094155),06,Benton,1071100,AMERICAN COCKTAILS,260,Diageo Americas,58801,Captain Morgan Long Island Iced Tea,6,1750,11.00,16.50,1,16.50,1.75,0.46
S04620200004,03/19/2012,4260,Fareway Stores #699 / Osceola,215 S MAIN ST,OSCEOLA,50213,POINT (-93.765695 41.032474),20,Clarke,1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,"Bacardi U.S.A., Inc.",43126,Bacardi Superior Rum,12,750,7.53,11.30,12,135.60,9.00,2.38
S05036500014,04/12/2012,4269,Tipton Family Foods,610 CEDAR ST,TIPTON,52772,POINT (-91.128389 41.771753),16,Cedar,1011100,BLENDED WHISKIES,65,Jim Beam Brands,25878,Sunny Brook Blend Whiskey,6,1750,7.87,11.80,6,70.80,10.50,2.77
S12889200092,06/18/2013,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14TH ST,DES MOINES,50320,POINT (-93.596754 41.554101),77,Polk,1031200,VODKA FLAVORED,260,Diageo Americas,41797,Smirnoff Raspberry Vodka,12,1000,9.25,13.87,12,166.44,12.00,3.17
S12202900027,05/14/2013,2413,Beecher Beverage,1691 ASBURY ROAD,DUBUQUE,52001,POINT (-90.696886 42.500775000000004),31,Dubuque,1062310,SPICED RUM,434,Luxco-St Louis,44658,Lady Bligh Spiced Rum,6,1750,10.50,15.75,6,94.50,10.50,2.77
S17781100013,03/10/2014,3162,Nash Finch / Wholesale Food,807 GRANDVIEW,MUSCATINE,52761,POINT (-91.06411300000002 41.408437),70,Muscatine,1022100,TEQUILA,421,"Sazerac Co., Inc.",88767,Tortilla White Tequila,12,1000,7.15,10.73,12,128.76,12.00,3.17
S25175700007,04/21/2015,4924,Abby Lea's,"2757, CHARLES CITY RD",NASHUA,50658,POINT (-92.547524 42.959023),19,Chickasaw,1012100,CANADIAN WHISKIES,115,"Constellation Wine Company, Inc.",10550,Black Velvet Toasted Caramel,12,750,6.75,10.13,12,121.56,9.00,2.38
S28012500013,09/21/2015,3907,Smokin' Joe's #16 Tobacco and Liquor,1504 PARK AVE,MUSCATINE,52761,POINT (-91.030569 41.442458),70,Muscatine,1032080,IMPORTED VODKA,35,"Bacardi U.S.A., Inc.",34433,Grey Goose Vodka,12,750,18.49,27.74,1,27.74,0.75,0.20
S16562300078,12/28/2013,4277,Cork It!,769 PROSPECT ST SW,LE MARS,51031,POINT (-96.178219 42.776296),75,Plymouth,1062310,SPICED RUM,260,Diageo Americas,43333,Captain Morgan Spiced Rum Pet,48,200,2.01,3.02,3,9.06,0.60,0.16
S10214000044,01/24/2013,4062,H and A Mini Mart Corp,145 UNIVERSITY AVE,DES MOINES,50314,POINT (-93.61947 41.600419),77,Polk,1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,"Bacardi U.S.A., Inc.",43121,Bacardi Superior Rum Mini,12,500,4.74,7.11,1,7.11,0.50,0.13
S25829700080,05/26/2015,2578,Hy-Vee / Charles City,901 KELLY ST,CHARLES CITY,50616,POINT (-92.67556000000002 43.066993),34,Floyd,1012100,CANADIAN WHISKIES,260,Diageo Americas,10803,Crown Royal Regal Apple Mini,10,300,7.35,11.03,1,11.03,0.30,0.08
S04160600151,02/20/2012,2634,Hy-Vee Wine and Spirits / Ames,3615 LINCOLN WAY,AMES,50014,POINT (-93.667932 42.022911),85,Story,1022100,TEQUILA,65,Jim Beam Brands,88556,Sauza Blanco Silver,12,750,8.40,12.59,2,25.18,1.50,0.40
S27477200054,08/24/2015,2460,"Liquor Barn, Inc.",721 CENTRAL AVENUE WEST,HAMPTON,50441,POINT (-93.21693 42.741728),35,Franklin,1081330,PEACH SCHNAPPS,434,Luxco-St Louis,84457,Paramount Peach Schnapps,12,1000,5.42,8.13,2,16.26,2.00,0.53
S22152300049,11/03/2014,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14TH ST,DES MOINES,50320,POINT (-93.596754 41.554101),77,Polk,1011200,STRAIGHT BOURBON WHISKIES,461,Campari(skyy),22157,Wild Turkey 101,12,1000,15.50,23.25,12,279.00,12.00,3.17
S16590800005,12/30/2013,3959,Hartig Drug Company #8 / University,1600 UNIVERSITY AVE,DUBUQUE,52001,POINT (-90.688027 42.498279),31,Dubuque,1011300,TENNESSEE WHISKIES,85,Brown-Forman Corporation,26820,Jack Daniels Old #7 Black Lbl Flat,24,375,6.54,9.81,24,235.44,9.00,2.38
S06924900006,08/02/2012,3440,Hawkeye Pantry,501 LOCUST ST,DES MOINES,50309,POINT (-93.62410400000002 41.586991),77,Polk,1031080,VODKA 80 PROOF,300,Mccormick Distilling Company,36903,Mccormick Vodka,48,200,1.12,1.68,96,161.28,19.20,5.07
S09455000081,12/12/2012,3818,Round Window Liquor,703 W PLEASANT ST,KNOXVILLE,50138,POINT (-93.10564100000002 41.320746),63,Marion,1062310,SPICED RUM,395,Proximo,46504,Kraken Black Spiced Rum,12,750,10.00,14.99,1,14.99,0.75,0.20
S23118600109,12/22/2014,2576,Hy-Vee Wine and Spirits / Storm Lake,1250 N LAKE ST,STORM LAKE,50588,POINT (-95.200758 42.65318400000001),11,Buena Vista,1701100,DECANTERS & SPECIALTY PACKAGES,370,Pernod Ricard USA/Austin Nichols,67575,Kahlua Peppermint Mocha,12,750,10.99,16.49,1,16.49,0.75,0.20
S24917600003,04/07/2015,4925,Kum & Go #574 / Urbandale,8600 MEREDITH DR,URBANDALE,50266,POINT (-93.88318400000001 41.643849),77,Polk,1031080,VODKA 80 PROOF,434,Luxco-St Louis,36308,Hawkeye Vodka,6,1750,7.17,10.76,12,129.12,21.00,5.55
S33295100017,07/12/2016,4255,FAREWAY STORES #058 / ORANGE CITY,512  8th SE,Orange City,51041,,84,Sioux,1071100,AMERICAN COCKTAILS,55,Sazerac North America,57129,Chi-Chi's Mexican Mudslide,6,1750,6.00,9.25,6,55.50,10.50,2.77
S14338000017,09/05/2013,2413,Beecher Beverage,1691 ASBURY ROAD,DUBUQUE,52001,POINT (-90.696886 42.500775000000004),31,Dubuque,1031080,VODKA 80 PROOF,434,Luxco-St Louis,36307,Hawkeye Vodka,12,1000,3.96,5.94,24,142.56,24.00,6.34
S04690100036,03/22/2012,2637,Hy-Vee #5 / Davenport,2351 W LOCUST,DAVENPORT,52804,POINT (-90.611972 41.538207),82,Scott,1081350,SPEARMINT SCHNAPPS,434,Luxco-St Louis,82187,Arrow Spearmint Schnapps,12,1000,4.37,6.56,12,78.72,12.00,3.17
S11552800021,04/10/2013,4619,Smokin' Joe's #3 Tobacco and Liquor,1737 AVE H,FORT MADISON,52627,POINT (-91.32982400000002 40.63021),56,Lee,1051010,AMERICAN GRAPE BRANDIES,115,"Constellation Wine Company, Inc.",53213,Paul Masson Grande Amber Brandy,24,200,1.77,2.66,2,5.32,0.40,0.11
S14621100023,09/17/2013,4764,New Star / Fort Dodge,1923 5TH AVE S,FORT DODGE,50501,POINT (-94.170859 42.501169),94,Webster,1051010,AMERICAN GRAPE BRANDIES,205,E AND J GALLO WINERY,52596,E & J Vs,12,750,5.75,8.62,12,103.44,9.00,2.38
S15641000005,11/11/2013,3728,Brewski's Beverage,726 CREEK TOP,COUNCIL BLUFFS,51503,POINT (-95.854809 41.262316),78,Pottawattamie,1011100,BLENDED WHISKIES,65,Jim Beam Brands,24457,Kessler Blend Whiskey,12,1000,7.08,10.62,24,254.88,24.00,6.34
S24289400016,03/02/2015,4148,Fareway Stores #479 / Independence,1400 3RD AVE SE,INDEPENDENCE,50644,POINT (-91.890284 42.455804),10,Buchanan,1081317,GRAPE SCHNAPPS,65,Jim Beam Brands,82636,Dekuyper Grape Pucker Schnapps,12,750,6.30,9.45,1,9.45,0.75,0.20
S03823500036,01/31/2012,2591,Hy-Vee Wine and Spirits / Atlantic,1602 E. 7TH ST.,ATLANTIC,50022,POINT (-94.990031 41.403856),15,Cass,1062200,PUERTO RICO & VIRGIN ISLANDS RUM,434,Luxco-St Louis,45274,Paramount White Rum,24,375,2.84,4.25,2,8.50,0.75,0.20
S19669100111,06/23/2014,2648,Hy-Vee #4 / WDM,555 S 51ST ST,WEST DES MOINES,50265,POINT (-93.773557 41.561197),77,Polk,1081200,CREAM LIQUEURS,305,MHW Ltd,73051,Rumchata Mini,12,500,8.87,13.31,1,13.31,0.50,0.13
S26671600006,07/09/2015,4942,East Village Pantry,"333, E GRAND AVE",DES MOINES,50309,POINT (-93.613492 41.590253),77,Polk,1082900,MISC. IMPORTED CORDIALS & LIQUEURS,192,Sidney Frank Importing Co.,65256,Jagermeister Liqueur,12,750,12.05,18.08,12,216.96,9.00,2.38
S08135200094,10/04/2012,3869,Bootleggin' Barzini's Fin,412  1ST AVE,CORALVILLE,52241,POINT (-91.565517 41.672672),52,Johnson,1062310,SPICED RUM,260,Diageo Americas,43316,Captain Morgan Private Stock Rum,12,750,11.45,17.18,1,17.18,0.75,0.20
S26145700005,06/11/2015,4204,Fareway Stores #025 / Clinton,1350 11TH ST NW,CLINTON,52733,POINT (-90.211315 41.860978),23,Clinton,1031080,VODKA 80 PROOF,260,Diageo Americas,37998,Smirnoff Vodka 80 Prf,6,1750,14.75,22.13,6,132.78,10.50,2.77
S25068700022,04/14/2015,2656,Hy-Vee Food Store / Corning,300  10TH ST,CORNING,51632,POINT (-94.731809 40.991861),22,Clayton,1081700,DISTILLED SPIRITS SPECIALTY,384,Piedmont Distillers,76040,Midnight Moon Strawberry,6,750,11.50,17.25,1,17.25,0.75,0.20
S04812200075,03/29/2012,2588,Hy-Vee Food and Drug #6 / Cedar Rapi,4035 MT. VERNON ROAD S.E.,CEDAR RAPIDS,52403,POINT (-91.60978 41.976835),57,Linn,1052010,IMPORTED GRAPE BRANDIES,389,REMY COINTREAU USA         .,49185,Remy Martin Vsop (flask),12,375,10.07,15.11,4,60.44,1.50,0.40
S17569400019,02/27/2014,4677,Costco Wholesale #1111 / Coralville,2900 HEARTLAND DR,CORALVILLE,52241,POINT (-91.61494100000002 41.698028),52,Johnson,1081015,IMPORTED AMARETTO,130,Disaronno International LLC,64136,Disaronno Amaretto,12,750,13.86,20.79,12,249.48,9.00,2.38
S23751900010,01/28/2015,2523,Hy-Vee Food Store / Centerville,414 N 18TH ST,CENTERVILLE,52544,POINT (-92.86795 40.735639),04,Appanoose,1081315,CINNAMON SCHNAPPS,65,Jim Beam Brands,82618,Dekuyper Hot Damn! Pet,6,1750,11.54,17.31,6,103.86,10.50,2.77
S24762900005,03/30/2015,3868,Wal-Mart 3630 / Marion,5491 BUSINESS HWY 151,MARION,52302,,57,Linn,1062200,PUERTO RICO & VIRGIN ISLANDS RUM,434,Luxco-St Louis,45278,Paramount White Rum,6,1750,7.84,11.76,12,141.12,21.00,5.55
S13420800003,07/17/2013,4328,Jr's On The Rocks,313 COLLEGE DR,DECORAH,52101,POINT (-91.797665 43.308557),96,Winneshiek,1011200,STRAIGHT BOURBON WHISKIES,421,"Sazerac Co., Inc.",16518,Ancient Age Bourbon,6,1750,11.80,17.70,6,106.20,10.50,2.77
S09499200002,12/17/2012,4442,A-TOWN LIQUOR STORE,212 10TH ST,ALTON,51003,POINT (-96.010058 42.987005),84,Sioux,1011100,BLENDED WHISKIES,260,Diageo Americas,25607,Seagrams 7 Crown Bl Whiskey,12,1000,7.50,11.24,12,134.88,12.00,3.17
S03501700079,01/10/2012,4312,I-80 Liquor / Council Bluffs,2411 S 24TH ST #1,COUNCIL BLUFFS,51501,POINT (-95.8792 41.238092),78,Pottawattamie,1012200,SCOTCH WHISKIES,370,Pernod Ricard USA/Austin Nichols,4717,Chivas Regal 12 Yr,12,1000,24.47,36.71,1,36.71,1.00,0.26
S18817700070,05/07/2014,2465,Sid's Beverage Shop,2727 DODGE ST,DUBUQUE,52003,POINT (-90.705328 42.491862),31,Dubuque,1042100,IMPORTED DRY GINS,370,Pernod Ricard USA/Austin Nichols,28087,Beefeater Gin,12,1000,14.49,21.74,12,260.88,12.00,3.17
S12602800004,06/05/2013,4006,Larchwood Offsale,913 BROWN ST PO BOX 326,LARCHWOOD,51241,POINT (-96.435452 43.453843),60,Lyon,1062310,SPICED RUM,260,Diageo Americas,43337,Captain Morgan Spiced Rum,12,1000,11.75,17.62,12,211.44,12.00,3.17
S23421300010,01/12/2015,2555,Hy-Vee Food Store / Keokuk,3111 MAIN,KEOKUK,52632,POINT (-91.403752 40.41538),56,Lee,1031080,VODKA 80 PROOF,434,Luxco-St Louis,36308,Hawkeye Vodka,6,1750,7.17,10.76,6,64.56,10.50,2.77
S23423100124,01/12/2015,2521,Hy-Vee Food and Drug / Grand / WDM,1990 GRAND AVENUE,WEST DES MOINES,50265,POINT (-93.73162 41.571127),77,Polk,1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,"Bacardi U.S.A., Inc.",43124,Bacardi Superior Rum,24,375,4.50,6.75,6,40.50,2.25,0.59
S16226200024,12/11/2013,3797,The Liquor Store / Davenport,211  W 53RD ST,DAVENPORT,52806,POINT (-90.57611300000002 41.574536),82,Scott,1041100,AMERICAN DRY GINS,297,Laird And Company,29996,Five O'clock Gin,12,750,3.46,5.19,12,62.28,9.00,2.38
S04195200030,02/21/2012,4347,Jeff's Market / Blue Grass,102 W MAYNE,BLUE GRASS,52726,POINT (-90.766126 41.509119),82,Scott,1062310,SPICED RUM,240,"WILLIAM GRANT AND SONS, INC.",45886,Sailor Jerry Spiced Navy Rum,12,750,8.41,12.62,3,37.86,2.25,0.59
S18278800031,04/07/2014,2613,Hy-Vee Food Store #1 / Council Bluff,2323 W BROADWAY,COUNCIL BLUFFS,51501,POINT (-95.879662 41.261925),78,Pottawattamie,1031080,VODKA 80 PROOF,55,Sazerac North America,37938,Skol Vodka,6,1750,7.11,10.67,6,64.02,10.50,2.77
S18170600034,03/31/2014,4617,Lickety Liquor,2501 HUBBELL AVE,DES MOINES,50317,POINT (-93.570489 41.607817),77,Polk,1081600,WHISKEY LIQUEUR,259,Heaven Hill Brands,86796,Southern Host Whiskey Liqueur,12,750,5.37,8.05,3,24.15,2.25,0.59
S25297200080,04/27/2015,2662,Hy-Vee Wine & Spirits / Muscatine,"522 MULBERRY, SUITE A",MUSCATINE,52761,POINT (-91.04437 41.426615),70,Muscatine,1031200,VODKA FLAVORED,260,Diageo Americas,77740,Smirnoff Raspberry,12,750,8.25,12.38,2,24.76,1.50,0.40
S06201500006,06/21/2012,4345,Lucky Mart,1031 WEST ST,GRINNELL,50112,POINT (-92.727379 41.745903),79,Poweshiek,1011100,BLENDED WHISKIES,65,Jim Beam Brands,22784,Beam's 8 Star Bl Whiskey,24,375,1.90,2.85,4,11.40,1.50,0.40
S11331300002,03/27/2013,4232,"Elliott's General Store,",23828 HWY J18,MORAVIA,52571,POINT (-92.834054 40.892417),04,Appanoose,1012100,CANADIAN WHISKIES,115,"Constellation Wine Company, Inc.",11788,Black Velvet,6,1750,10.45,15.67,6,94.02,10.50,2.77
S28227900013,10/01/2015,4959,Bani's,2128 COLLEGE ST,CEDAR FALLS,50613,POINT (-92.455801 42.518018000000005),07,Black Hawk,1031200,VODKA FLAVORED,205,E AND J GALLO WINERY,40315,New Amsterdam Red Berry,6,1750,13.32,19.98,18,359.64,31.50,8.32
S07667700055,09/11/2012,2607,Hy-Vee Wine and Spirits / Shenandoah,520 SO FREMONT,SHENANDOAH,51601,POINT (-95.385111 40.761736),73,Page,1082900,MISC. IMPORTED CORDIALS & LIQUEURS,192,Sidney Frank Importing Co.,65253,Jagermeister Liqueur,48,200,3.50,5.26,4,21.04,0.80,0.21
S26913600093,07/22/2015,3890,Smokin' Joe's #7 Tobacco and Liquor,904  1ST AVE NW,CEDAR RAPIDS,52405,POINT (-91.683669 41.972773),57,Linn,1022100,TEQUILA,395,Proximo,87509,1800 Silver Tequila,12,375,8.96,13.44,2,26.88,0.75,0.20
S06051400001,06/13/2012,3789,Wal-Mart 1393 / Oskaloosa,2203 A AVENUE WEST,OSKALOOSA,52577,POINT (-92.669924 41.298516),62,Mahaska,1031200,VODKA FLAVORED,380,Phillips Beverage Company,41989,Uv Cake Vodka,12,750,6.25,9.49,12,113.88,9.00,2.38
S13544300032,07/24/2013,3717,The Liquor Stop / Sumner,201 W 1st ST,SUMNER,50674,POINT (-92.09922100000001 42.847479),09,Bremer,1062200,PUERTO RICO & VIRGIN ISLANDS RUM,65,Jim Beam Brands,43848,Ronrico Silver Label Rum (pr),6,1750,7.35,11.02,2,22.04,3.50,0.92
S09564100007,12/18/2012,4114,After 5 Somewhere,704 W 7TH ST PO BOX 372,ATLANTIC,50022,POINT (-95.023116 41.40406200000001),15,Cass,1031080,VODKA 80 PROOF,434,Luxco-St Louis,36308,Hawkeye Vodka,6,1750,7.13,10.70,6,64.20,10.50,2.77
S04985800023,04/10/2012,4171,"Brothers Market, Inc. / Cascade",105 SE NIXON ST,CASCADE,52033,POINT (-90.993859 42.3036),31,Dubuque,1012100,CANADIAN WHISKIES,971,"Hood River Distillers, Inc.",14192,Pendleton Canadian Whisky,12,750,13.10,19.65,6,117.90,4.50,1.19
S06173900035,06/20/2012,3925,Johncy's Liquor Store Inc,585 HWY 965 S  STE E,NORTH LIBERTY,52317,POINT (-91.60761 41.738129),48,Iowa,1031080,VODKA 80 PROOF,260,Diageo Americas,37994,Smirnoff Vodka 80 Prf,24,375,4.50,6.75,24,162.00,9.00,2.38
S04449100046,03/07/2012,2543,Hy-Vee Food Store #1 / Ottumwa,1025 NORTH QUINCY AVE,OTTUWMA,52501,POINT (-92.438463 41.01558),90,Wapello,1081230,WHITE CREME DE CACAO,434,Luxco-St Louis,78866,Paramount Creme De Cacao/white,12,750,4.44,6.66,1,6.66,0.75,0.20
S27908400058,09/15/2015,3495,Great Pastimes,228 N MAIN ST,MONTICELLO,52310,POINT (-91.183413 42.24013200000001),53,Jones,1081230,WHITE CREME DE CACAO,434,Luxco-St Louis,78616,Arrow Creme de Cacao White,12,750,4.50,6.75,1,6.75,0.75,0.20
